Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell type]	Characteristics[time]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[infect]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[spike sequence file]	Comment[spike concentration file]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[infect]	Factor Value[cell type]
1771-019-267-A5	ERS1064053	SAMEA3876919	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A5	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A5	sequencing assay	ERX1348450	1771-019-267-A5.fastq.gz	1771-019-267-A5.fastq.gz	ERR1276863	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/003/ERR1276863/ERR1276863_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A5	ERS1064053	SAMEA3876919	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A5	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A5	sequencing assay	ERX1348450	1771-019-267-A5.fastq.gz	1771-019-267-A5.fastq.gz	ERR1276863	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/003/ERR1276863/ERR1276863_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A7	ERS1064054	SAMEA3876920	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A7	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A7	sequencing assay	ERX1348451	1771-019-267-A7.fastq.gz	1771-019-267-A7.fastq.gz	ERR1276864	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/004/ERR1276864/ERR1276864_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-A7	ERS1064054	SAMEA3876920	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-A7	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-A7	sequencing assay	ERX1348451	1771-019-267-A7.fastq.gz	1771-019-267-A7.fastq.gz	ERR1276864	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/004/ERR1276864/ERR1276864_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B1	ERS1064055	SAMEA3876921	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B1	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B1	sequencing assay	ERX1348452	1771-019-267-B1.fastq.gz	1771-019-267-B1.fastq.gz	ERR1276865	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/005/ERR1276865/ERR1276865_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B1	ERS1064055	SAMEA3876921	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B1	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B1	sequencing assay	ERX1348452	1771-019-267-B1.fastq.gz	1771-019-267-B1.fastq.gz	ERR1276865	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/005/ERR1276865/ERR1276865_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B10	ERS1064056	SAMEA3876922	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B10	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B10	sequencing assay	ERX1348453	1771-019-267-B10.fastq.gz	1771-019-267-B10.fastq.gz	ERR1276866	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/006/ERR1276866/ERR1276866_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B10	ERS1064056	SAMEA3876922	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B10	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B10	sequencing assay	ERX1348453	1771-019-267-B10.fastq.gz	1771-019-267-B10.fastq.gz	ERR1276866	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/006/ERR1276866/ERR1276866_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B11	ERS1064057	SAMEA3876923	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B11	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B11	sequencing assay	ERX1348454	1771-019-267-B11.fastq.gz	1771-019-267-B11.fastq.gz	ERR1276867	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/007/ERR1276867/ERR1276867_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B11	ERS1064057	SAMEA3876923	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B11	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B11	sequencing assay	ERX1348454	1771-019-267-B11.fastq.gz	1771-019-267-B11.fastq.gz	ERR1276867	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/007/ERR1276867/ERR1276867_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B3	ERS1064058	SAMEA3876924	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B3	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B3	sequencing assay	ERX1348455	1771-019-267-B3.fastq.gz	1771-019-267-B3.fastq.gz	ERR1276868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/008/ERR1276868/ERR1276868_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B3	ERS1064058	SAMEA3876924	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B3	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B3	sequencing assay	ERX1348455	1771-019-267-B3.fastq.gz	1771-019-267-B3.fastq.gz	ERR1276868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/008/ERR1276868/ERR1276868_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B4	ERS1064059	SAMEA3876925	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B4	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B4	sequencing assay	ERX1348456	1771-019-267-B4.fastq.gz	1771-019-267-B4.fastq.gz	ERR1276869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/009/ERR1276869/ERR1276869_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B4	ERS1064059	SAMEA3876925	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B4	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B4	sequencing assay	ERX1348456	1771-019-267-B4.fastq.gz	1771-019-267-B4.fastq.gz	ERR1276869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/009/ERR1276869/ERR1276869_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B5	ERS1064060	SAMEA3876926	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B5	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B5	sequencing assay	ERX1348457	1771-019-267-B5.fastq.gz	1771-019-267-B5.fastq.gz	ERR1276870	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/000/ERR1276870/ERR1276870_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B5	ERS1064060	SAMEA3876926	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B5	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B5	sequencing assay	ERX1348457	1771-019-267-B5.fastq.gz	1771-019-267-B5.fastq.gz	ERR1276870	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/000/ERR1276870/ERR1276870_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B6	ERS1064061	SAMEA3876927	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B6	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B6	sequencing assay	ERX1348458	1771-019-267-B6.fastq.gz	1771-019-267-B6.fastq.gz	ERR1276871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/001/ERR1276871/ERR1276871_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B6	ERS1064061	SAMEA3876927	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B6	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B6	sequencing assay	ERX1348458	1771-019-267-B6.fastq.gz	1771-019-267-B6.fastq.gz	ERR1276871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/001/ERR1276871/ERR1276871_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B7	ERS1064062	SAMEA3876928	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B7	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B7	sequencing assay	ERX1348459	1771-019-267-B7.fastq.gz	1771-019-267-B7.fastq.gz	ERR1276872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/002/ERR1276872/ERR1276872_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B7	ERS1064062	SAMEA3876928	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B7	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B7	sequencing assay	ERX1348459	1771-019-267-B7.fastq.gz	1771-019-267-B7.fastq.gz	ERR1276872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/002/ERR1276872/ERR1276872_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B8	ERS1064063	SAMEA3876929	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B8	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B8	sequencing assay	ERX1348460	1771-019-267-B8.fastq.gz	1771-019-267-B8.fastq.gz	ERR1276873	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/003/ERR1276873/ERR1276873_1.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
1771-019-267-B8	ERS1064063	SAMEA3876929	Mus musculus	Dendritic Cell CD8a-	0	day	EFO	UO_0000033	none	cell	P-MTAB-48473	Tapio Lonnberg, Kylie James	P-MTAB-48474	Ruddy Montandon, Tom Metcalf	P-MTAB-48475	Tapio Lonnberg, Kylie James	1771-019-267-B8	spikes.fa	spike_concentrations.txt	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	400	20	P-MTAB-48476	Wellcome Trust Sanger Institute Sequencing Facility	1771-019-267-B8	sequencing assay	ERX1348460	1771-019-267-B8.fastq.gz	1771-019-267-B8.fastq.gz	ERR1276873	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/003/ERR1276873/ERR1276873_2.fastq.gz	0	day	EFO	UO_0000033	none	Dendritic Cell CD8a-
